name,description,brewery,real,createdAt,abv,type
Sillen IPA,"Mycket fruktig smak med tydlig beska och liten sötma, inslag av torkad ananas, sockerkaka, nektarin, rosmarin och grapefrukt.",Ofrälse Brygghus,true,2026-03-14T00:00:00,6.1,India Pale Ale
Ingvor,"Mycket fruktig och syrlig smak, med liten hetta, inslag av mango, ananas och habaneropeppar.",Två Feta Grisar,true,2026-03-14T00:00:00,5.5,Lager
10 Hazy IPA,"Humlearomatisk smak med tydlig beska, inslag av apelsinskal, tallkåda, kryddor, aprikos och honung.",U and Me Beer,true,2026-03-14T00:00:00,6.3,New England IPA
India Pale Ale,"Humlearomatisk smak med tydlig beska, inslag av knäckebröd, grapefrukt och kryddor.",137:ans Brygghus,true,2026-03-14T00:00:00,6.7,India Pale Ale
Modern Lager,"Humlearomatisk smak med tydlig beska, inslag av örter, grapefruktskal, knäckebröd och honung.",137:ans Brygghus,true,2026-03-14T00:00:00,4,Lager
Unicorn Glitter Lager,"Maltig smak med tydlig beska, inslag av knäckebröd, ljus sirap, grapefrukt och aprikos.",137:ans Brygghus,true,2026-03-14T00:00:00,5.4,Lager
Linjen NEIPA,"Humlearomatisk, fruktig smak med tydlig beska, inslag av ananas, vitpeppar, rosmarin, grapefrukt och honung.",1413 Bryggkultur,true,2026-03-14T00:00:00,7.4,New England IPA
1664 Blanc,"Fruktig smak med inslag av apelsin, honung och koriander.",Kronenbourg,true,2026-03-14T00:00:00,4.2,Lager
1664 Lager,"Brödig smak med inslag av honung, halm och citrus.",Kronenbourg,true,2026-03-14T00:00:00,4.2,Lager
Härjebrygg,"Fruktig smak med inslag av aprikos, knäck, vörtbröd och pomerans.",Härjedalens bryggeriaktiebolag,true,2024-07-01T00:00:00,5.2,Ljus lager
1916,"Maltig, rostad, söt, nyanserad smak med inslag av kavring, mörk choklad, tobak, kaffe, sötlakrits, farinsocker och russin.",Stjernsund Brygghus,true,2021-10-01T00:00:00,9,Porter & Stout
Cuvée Armand & Gaston,,3 Fonteinen,true,2026-03-14T00:00:00,4.7,Lager
Oude Kriek,"Nyanserad, utvecklad, mycket syrlig smak med inslag av körsbär, röda äpplen, mandelmassa, stall och blodgrapefrukt.",3 Fonteinen,true,2026-03-14T00:00:00,4.5,Lager
Oude Geuze,"Karaktärsfull, fruktig, mycket syrlig smak med inslag av röda äpplen, aprikos, halm, honung, nötter, vinäger, stall och citron.",3 Fonteinen,true,2026-03-14T00:00:00,4.5,Lager
Oude Geuze Golden Blend 33,,3 Fonteinen,true,2026-03-14T00:00:00,5.2,Lager
